date,items,sales,credit card,customer name,street address,state,country,ZIP code
5/30/2017,Product 6,1282.38,maestro,Melba Paladino,26880 Thierer Pass,New York,United States,13217
9/6/2015,Product 10,44.99,jcb,Kamillah Kither,26 Bayside Trail,West Virginia,United States,25716
12/23/2015,Service 6,1068.31,jcb,Danielle Welds,4146 Katie Avenue,Texas,United States,77080
2/3/2014,Service 4,2526.2,maestro,Klement Keel,059 Swallow Plaza,Connecticut,United States,6721
3/3/2017,Product 7,2872.09,visa-electron,Dora Hedgeley,38 Continental Drive,District of Columbia,United States,20425
8/8/2014,Product 10,4917.05,jcb,Lars Ferrillo,431 Golden Leaf Circle,New York,United States,10474
11/6/2015,Product 3,228.08,mastercard,Brett Huortic,69 Clarendon Pass,Ohio,United States,45440
2/2/2017,Service 4,2792.13,jcb,Eryn Truder,81 Linden Center,Kansas,United States,66210
4/15/2017,Product 1,3661.77,switch,Ally Cawthry,5 Oxford Street,Texas,United States,88546
9/20/2013,Product 8,1102.61,instapayment,Aubine Wicken,9930 Gerald Lane,Mississippi,United States,39204
8/9/2016,Service 5,2605.36,jcb,Pier Klimpke,2179 Jana Junction,Texas,United States,76305
7/12/2015,Product 5,1777.91,diners-club-enroute,Emlyn McDermot,55 Lake View Road,California,United States,93773
4/23/2017,Service 6,4437.24,bankcard,Laurel Jakubowicz,917 Superior Park,Hawaii,United States,96845
11/11/2014,Service 2,3120.47,maestro,Faustine Ottery,86 Pankratz Park,California,United States,95833
1/4/2014,Product 3,2935.29,instapayment,Vicky Lomb,285 David Terrace,New York,United States,10115
1/11/2017,Product 9,3414.81,mastercard,Kendre Emerine,5 Tennessee Terrace,Texas,United States,79984
6/18/2017,Product 8,4934.3,visa-electron,Quentin Worsalls,3982 7th Hill,Georgia,United States,30375
10/18/2013,Service 2,1470.16,mastercard,Zachary Isham,5664 Green Place,West Virginia,United States,25331
4/11/2016,Service 3,2684.75,jcb,Roshelle Mathevet,92992 Maywood Circle,Michigan,United States,48211
1/18/2015,Service 1,1708.83,jcb,Xenos Sired,09201 Gateway Crossing,Texas,United States,88553
2/3/2017,Product 9,995.84,jcb,Gena Ingleston,7403 American Ash Way,Florida,United States,33915
6/29/2016,Service 3,972.65,jcb,Pamella McInulty,2204 Meadow Ridge Junction,Florida,United States,34642
10/13/2013,Service 4,2300.64,jcb,Evangelin Iddens,8 Bultman Way,Illinois,United States,60078
12/17/2016,Service 1,3420.8,bankcard,Stephana Croster,5 Manufacturers Circle,Virginia,United States,23293
12/2/2013,Product 10,3816.34,mastercard,Pace Collingdon,34 Bashford Hill,South Dakota,United States,57198
1/27/2014,Service 6,3172,jcb,Garvin Kingsford,577 Florence Trail,New Mexico,United States,87140
6/18/2017,Service 3,1977.89,mastercard,Amalee Scarlon,9 Maywood Avenue,Virginia,United States,24048
5/24/2016,Service 4,1595.28,diners-club-enroute,Hashim Margaret,9 Forest Dale Way,Alaska,United States,99812
1/9/2015,Product 4,4286.26,visa-electron,Raynard Gammidge,23791 Crescent Oaks Drive,New York,United States,10310
5/8/2016,Service 2,4161.11,jcb,Mignon Ibbeson,69760 Cambridge Parkway,Kentucky,United States,40515
12/27/2013,Service 5,4135.58,jcb,Ev Anneslie,82906 Jackson Alley,Texas,United States,76505
9/19/2014,Product 3,2911.19,diners-club-carte-blanche,Terrell Panther,52357 Hooker Street,California,United States,94257
10/16/2016,Product 6,4522.6,diners-club-enroute,Tommy Piggens,75344 Thompson Hill,Maryland,United States,21405
7/9/2013,Product 1,1912.57,jcb,Quill Bontein,76594 Raven Avenue,North Carolina,United States,27110
12/14/2014,Service 1,2180.86,bankcard,Quinlan Grimoldby,804 Bayside Circle,Oklahoma,United States,73034
1/12/2014,Product 3,4275.53,americanexpress,Andriette Cavaney,33801 Dayton Circle,Alabama,United States,35295
4/21/2014,Product 5,439.88,jcb,Chickie Poynser,43325 Pierstorff Crossing,Texas,United States,78291
11/2/2016,Product 6,2122.9,jcb,Kelcey Ashburner,40490 Meadow Vale Drive,Texas,United States,76096
8/16/2016,Product 8,1701.95,maestro,Ingrid Saurat,58480 Kim Parkway,Alaska,United States,99790
1/3/2014,Product 2,525.7,jcb,Fianna Bletsor,62831 Del Sol Plaza,Alabama,United States,36109
11/20/2014,Product 8,717.94,mastercard,Dom Marjot,58 Vahlen Pass,West Virginia,United States,25775
3/14/2016,Service 6,399.2,jcb,Merna Senechault,41 Sycamore Crossing,Georgia,United States,31136
1/23/2017,Service 3,2702.65,jcb,Dex Raynton,8758 Hovde Center,District of Columbia,United States,20016
6/5/2015,Service 6,4398.36,maestro,Spense Vannoni,826 Warrior Point,Massachusetts,United States,2745
1/1/2014,Product 4,2996.21,instapayment,Selby Pearson,8 Southridge Crossing,Oklahoma,United States,73135
7/5/2015,Product 6,4239.88,mastercard,Issie Fritter,6589 Warner Place,Indiana,United States,46620
9/6/2014,Service 6,4804.36,jcb,Timmie Storry,57 Southridge Alley,Kentucky,United States,40524
12/10/2015,Service 4,1189.04,diners-club-enroute,Jacob Entreis,18109 Vermont Pass,Illinois,United States,60604
8/2/2013,Service 4,585.66,visa,Irita Pedrazzi,2 Barby Hill,Illinois,United States,62525
6/2/2014,Product 5,498.06,americanexpress,Nanny Rampton,041 Daystar Drive,Florida,United States,33411
4/15/2016,Product 1,2549.85,mastercard,Rubin Oddey,8 Grayhawk Terrace,District of Columbia,United States,20067
1/25/2017,Product 1,4026.19,diners-club-carte-blanche,Meta Wrankmore,3 Luster Parkway,California,United States,90505
9/9/2016,Product 2,4854.23,jcb,Kristofer Elden,06 Troy Lane,Texas,United States,75705
3/31/2014,Product 2,2486.03,americanexpress,Lelia Cahey,4 Gale Way,Texas,United States,75387
8/4/2013,Product 4,1710.27,jcb,Corri Panton,1 Waxwing Park,Ohio,United States,45020
9/19/2014,Product 6,224.96,jcb,Georges Urquhart,55 International Crossing,Texas,United States,78789
9/30/2015,Service 2,1059.92,jcb,Editha Chicco,195 Hanover Terrace,California,United States,94273
10/26/2014,Product 9,3396.78,jcb,Dulce Masterton,6 Alpine Pass,California,United States,92170
7/22/2013,Product 3,509.32,jcb,Abbye Peschet,55551 Towne Avenue,Texas,United States,75216
4/25/2016,Product 4,1784.74,laser,Brewster Braniff,99 Hagan Point,New York,United States,12255
1/4/2014,Product 8,3243.09,jcb,Cleavland Elner,7 Schlimgen Junction,Texas,United States,78235
4/14/2016,Product 4,473.29,jcb,Leora Lowers,81217 Cottonwood Hill,Michigan,United States,48956
9/5/2016,Service 4,875.78,visa-electron,Mufi Satterley,5 Red Cloud Avenue,District of Columbia,United States,20099
3/30/2016,Product 4,1305.14,mastercard,Cacilia Tabord,5348 Vahlen Crossing,Pennsylvania,United States,19605
6/22/2015,Service 4,4696.14,jcb,Donetta Westcar,6 Arkansas Place,California,United States,94207
5/24/2014,Product 6,3847.28,jcb,Franchot Vaughton,7 Everett Trail,California,United States,91797
8/5/2016,Service 6,4208.8,jcb,Agnesse Turnell,4099 Luster Plaza,Florida,United States,33994
7/26/2016,Service 4,4568.4,jcb,Joy Witcomb,982 Karstens Center,Florida,United States,33737
6/28/2017,Product 10,1394.27,americanexpress,Elisabeth Richemond,35182 High Crossing Junction,Texas,United States,78764
4/22/2014,Product 7,378.29,jcb,Halley Bromage,18 Grover Parkway,Virginia,United States,23289
11/12/2015,Product 3,3032.07,jcb,Ryon Montier,43 Burrows Avenue,Utah,United States,84135
6/19/2017,Service 4,3644.21,maestro,Ephrem Warlawe,2 Charing Cross Court,California,United States,92668
7/5/2013,Product 8,653.62,visa-electron,Jessika Deverson,9592 Spohn Circle,Georgia,United States,30336
7/30/2016,Product 3,1469.19,jcb,Alice Whelpdale,67719 Warbler Drive,New York,United States,10120
11/22/2015,Product 10,1618.35,switch,Minnnie Geard,813 Meadow Vale Plaza,Georgia,United States,30092
7/22/2014,Product 3,2030.96,americanexpress,Nicholle Wheeldon,16 Summit Point,Colorado,United States,80940
2/25/2014,Service 5,4641.14,jcb,Gill Bucknall,785 Randy Junction,Colorado,United States,80525
7/21/2013,Product 1,507.58,china-unionpay,Tawsha Biskup,71883 Graceland Park,New York,United States,12325
3/21/2016,Product 10,3440.52,instapayment,Elton Wandless,412 Express Park,New York,United States,10165
5/27/2015,Product 4,4497.14,jcb,Samuele Pashley,1858 Butternut Court,Florida,United States,32605
2/10/2016,Product 2,4157.14,jcb,Jerri Geeves,32 Summer Ridge Drive,Texas,United States,75353
7/23/2014,Product 1,4026.62,jcb,Berke Tommasuzzi,43 Dwight Center,Missouri,United States,63104
1/1/2015,Product 6,835.44,jcb,Farlee Kays,21 Dahle Circle,Florida,United States,32526
1/2/2016,Product 2,857.34,visa-electron,Arnuad Bridden,9950 Hovde Parkway,Oklahoma,United States,73190
3/28/2015,Product 3,259.55,diners-club-enroute,Sigismundo McIver,1621 Nobel Road,Virginia,United States,24048
4/7/2014,Service 5,1664.83,mastercard,Tremayne Shapcott,7027 Barnett Park,Michigan,United States,48098
6/5/2017,Service 1,4758.12,switch,Dimitri Gouldstraw,3 Graceland Pass,Texas,United States,76544
1/25/2016,Product 6,2792.16,jcb,Caresa Siggin,73 Ridgeview Road,Colorado,United States,80279
5/3/2014,Service 1,4905.71,americanexpress,Adamo Blazewicz,8 Packers Street,Missouri,United States,64187
8/7/2013,Service 1,2357.97,jcb,Camella McLoughlin,70595 Portage Terrace,Florida,United States,33811
5/5/2015,Product 10,2202.25,jcb,Vidovic Coste,6 6th Plaza,Arizona,United States,85035
7/22/2016,Service 3,3262.68,americanexpress,Birgitta Vasile,2092 Elmside Road,Alabama,United States,35254
8/1/2014,Service 2,231.2,laser,Dynah Badger,0 International Terrace,Ohio,United States,44393
11/26/2013,Service 4,1866.95,maestro,Brandea McKinlay,3 Scoville Street,Florida,United States,32092
1/1/2015,Product 2,3857.28,jcb,Jodi Lamdin,29733 Towne Place,Texas,United States,79984
2/24/2017,Service 1,400.49,maestro,Jenilee Greeves,2073 Emmet Trail,Ohio,United States,44555
10/5/2014,Service 3,2588.38,bankcard,Asa Draijer,22 Sommers Circle,Illinois,United States,60646
11/18/2015,Product 9,3996.34,diners-club-carte-blanche,Abey Izkoveski,20645 Golf View Junction,Florida,United States,32813
3/19/2015,Service 1,2631.84,visa,Lyndsey Mathwin,432 Carey Street,New Jersey,United States,8922
5/19/2014,Service 1,123.82,diners-club-enroute,Roch Reville,290 Hagan Place,Nevada,United States,89510
8/17/2015,Service 1,3895.02,switch,Reba Simmance,2840 Karstens Court,Illinois,United States,61709
5/19/2017,Product 8,2065.59,jcb,Gearalt Snasel,39450 Thompson Street,Louisiana,United States,70005
3/9/2016,Product 8,1274.88,jcb,Gerard Abramovic,2 Bobwhite Parkway,Kentucky,United States,40293
8/7/2013,Service 2,4180.44,jcb,Amanda Silkston,474 Hoffman Street,Tennessee,United States,37240
3/31/2014,Service 3,1389.7,jcb,Bianka Lichfield,6 Porter Drive,Ohio,United States,44485
3/22/2015,Product 7,3960.85,visa-electron,Lynnea Christoffersen,0189 Springview Way,Illinois,United States,60697
9/10/2014,Product 6,2184.61,jcb,Adi Antonik,2895 Buena Vista Center,New York,United States,10557
10/29/2013,Product 10,674.34,diners-club-us-ca,Griselda Bruck,7 David Center,Kansas,United States,66642
7/23/2014,Service 5,877.35,solo,Elihu Du Hamel,86679 Basil Court,Massachusetts,United States,2203
8/24/2015,Service 5,4818.13,jcb,Verine Jakubski,28 Kensington Point,Colorado,United States,81505
8/29/2015,Service 2,471.74,jcb,Godart Coils,0 Bowman Street,Colorado,United States,80127
7/20/2016,Product 2,1311.14,instapayment,Beverley Ferrer,497 8th Junction,Idaho,United States,83727
8/5/2013,Product 6,3813.26,jcb,Alia Crews,909 Kedzie Point,North Dakota,United States,58106
7/23/2014,Service 3,2187.32,bankcard,Udell Uccelli,35464 Mariners Cove Parkway,Alabama,United States,35295
3/26/2016,Product 5,1715.49,instapayment,Douglas Cufflin,89084 Lunder Terrace,Texas,United States,88584
10/7/2016,Product 8,4087.15,jcb,Jorrie Pattini,2 Northland Park,Ohio,United States,44393
8/24/2015,Service 4,3430.95,americanexpress,Hy Chadwen,342 Talmadge Trail,Minnesota,United States,55487
9/21/2015,Product 9,2754.06,jcb,Jennica Winn,55219 Farwell Park,New York,United States,14604
11/8/2014,Product 8,2457.33,americanexpress,Nalani Blemen,46 New Castle Street,Michigan,United States,49018
7/10/2016,Product 9,3447.43,jcb,Lief Bromehed,138 Porter Point,North Carolina,United States,27626
5/9/2014,Product 3,3733.48,americanexpress,Ashlee Blaasch,658 7th Drive,District of Columbia,United States,20404
4/2/2014,Product 1,922.27,visa,Marc Shalders,971 Monica Alley,New York,United States,10249
11/11/2016,Product 10,3381.04,jcb,Ase Bonnett,3247 Towne Drive,Texas,United States,76129
7/29/2014,Service 5,918.77,maestro,Terencio Hunnywell,817 Menomonie Hill,Kentucky,United States,40510
1/4/2014,Product 9,1694.7,diners-club-carte-blanche,Papageno Bourley,6672 Doe Crossing Road,Kentucky,United States,41905
1/13/2017,Product 4,3625.58,solo,Ealasaid Grooby,3545 Mayer Plaza,Louisiana,United States,71307
4/11/2014,Product 1,325.52,jcb,Kerry Uc,4 Village Green Circle,New Mexico,United States,87180
8/30/2016,Product 1,4630.4,jcb,Morgun Calbert,05083 Lighthouse Bay Street,Texas,United States,75246
8/19/2015,Product 3,1986.48,jcb,Hazel Lamke,5877 Cambridge Terrace,Texas,United States,79699
9/18/2013,Service 6,3623.94,visa-electron,Dulcia Vallance,1 Ruskin Alley,California,United States,91606
12/25/2016,Service 1,188.76,americanexpress,Gavan Boam,3249 Mallory Crossing,Nevada,United States,89012
12/14/2013,Product 1,1992.39,jcb,See Dosdell,30258 Little Fleur Alley,Florida,United States,34620
3/2/2016,Service 5,1631.44,diners-club-enroute,Christopher Lethbrig,30270 Fieldstone Parkway,Tennessee,United States,37410
8/24/2016,Product 8,2144.37,maestro,Killie Wortman,36500 Dexter Place,Ohio,United States,45254
12/28/2016,Product 6,3955.72,americanexpress,Tate Portail,5327 Schlimgen Hill,Arkansas,United States,72209
3/12/2016,Product 5,4166.68,visa-electron,Lorette Tytcomb,317 Straubel Junction,Texas,United States,77343
8/11/2014,Product 6,4235.11,diners-club-enroute,Joyann Perring,3 Monument Alley,Texas,United States,76134
3/28/2015,Service 5,3181.35,bankcard,Licha Ferrandez,679 Upham Court,District of Columbia,United States,20231
1/10/2017,Product 6,4029.32,jcb,Fowler Crole,2781 Kennedy Point,Colorado,United States,80945
1/5/2014,Product 3,3266.38,jcb,Thomasin Roscher,9 Hermina Lane,Ohio,United States,45432
3/23/2015,Service 4,2145.26,jcb,Michaela Sivorn,136 Independence Trail,Illinois,United States,60691
12/10/2015,Product 10,319.46,jcb,Justino Geekin,80094 Spenser Park,North Carolina,United States,28263
3/27/2016,Product 2,1400.27,visa-electron,Nonie Skitterel,10 Dawn Road,Minnesota,United States,55123
10/20/2015,Service 5,1760.36,maestro,Radcliffe Gilliland,88 Lerdahl Center,Michigan,United States,49006
11/28/2014,Product 5,4524.22,mastercard,Pattie Hoyte,450 Norway Maple Court,Texas,United States,77705
11/17/2013,Product 3,369.29,jcb,Delmar Youell,7388 Grasskamp Parkway,California,United States,90025
1/28/2014,Service 4,1216.12,diners-club-carte-blanche,Lanae Okie,84107 Hudson Circle,Indiana,United States,46247
6/4/2017,Product 4,2564.93,jcb,Vivyanne Twigge,736 Ryan Parkway,California,United States,94605
1/31/2016,Product 5,2594.2,jcb,Sutherland Bartomieu,60616 Dorton Place,Georgia,United States,31165
5/5/2015,Product 1,3725.05,instapayment,Lydia Jowling,2043 Oak Point,Pennsylvania,United States,19172
7/15/2016,Product 8,1911.35,visa,Iolanthe Buttress,79729 Grasskamp Plaza,Michigan,United States,48206
6/27/2017,Service 5,4443.38,mastercard,Linn Garthside,8377 Burning Wood Court,California,United States,93407
2/19/2017,Product 6,3380.97,americanexpress,Tresa Beilby,67018 Southridge Way,California,United States,90305
12/13/2016,Service 4,2475.72,jcb,Glen Barmby,6 Alpine Junction,Florida,United States,34981
11/22/2015,Product 4,3565.04,jcb,Damien Vowell,69686 Vernon Lane,Washington,United States,98447
6/17/2016,Product 2,653.38,jcb,Vernor Finn,1156 Dayton Circle,New York,United States,13251
12/27/2015,Service 3,3929.19,jcb,Riccardo Ivanishev,8 Scott Junction,District of Columbia,United States,20575
1/26/2016,Product 1,4723.06,diners-club-carte-blanche,Debi Headford,70 Waywood Trail,Illinois,United States,62723
5/11/2014,Service 2,80.05,china-unionpay,Ophelie Andree,312 Melody Park,Nevada,United States,89166
2/24/2017,Product 2,1275.26,diners-club-enroute,Mercedes Attride,598 East Center,Maine,United States,4109
2/6/2016,Product 4,1585.65,jcb,Brod Gebbe,51 Golf Street,Alabama,United States,35895
2/23/2017,Product 2,213.78,visa,Melania O'Loghlen,81171 Michigan Drive,Washington,United States,98506
